"Dixon Ticonderoga Core-Lock Colored Pencils, 48-Color Set",Natalie Webber,54882,-43.93,36.55,13.89,Manitoba,Pens & Art Supplies,0.41
Tripp Lite Isotel 6 Outlet Surge Protector with Fax/Modem Protection,Russell Applegate,55042,513.93,60.97,4.5,Manitoba,Appliances,0.56
6000,Russell Applegate,55042,471.09,65.99,2.5,Manitoba,Telephones and Communication,0.55
"Array® Parchment Paper, Assorted Colors",Thais Sissman,55046,-12.93,7.28,11.15,Manitoba,Paper,0.37
Southworth 25% Cotton Premium Laser Paper and Envelopes,Jamie Frazer,55297,60.59,19.98,8.68,Manitoba,Paper,0.37
Avery 498,Russell Applegate,55360,50.74,2.89,0.5,Manitoba,Labels,0.38
"Chromcraft Bull-Nose Wood Round Conference Table Top, Wood Base",Russell Applegate,55360,1517.12,217.85,29.1,Manitoba,Tables,0.68
Hon Rectangular Conference Tables,Jack Garza,55623,1094.57,227.55,32.48,Manitoba,Tables,0.68
PC Concepts 116 Key Quantum 3000 Keyboard,Steven Cartwright,55650,-112.58,32.98,5.5,Manitoba,Computer Peripherals,0.75
"DAX Metal Frame, Desktop, Stepped-Edge",Helen Andreada,55651,120.69,20.24,8.99,Manitoba,Office Furnishings,0.46
Fellowes Super Stor/Drawer®,Helen Andreada,55651,-52.73,27.75,19.99,Manitoba,Storage & Organization,0.67
"Imation 3.5"" Diskettes, IBM Format, DS/HD, 10/Box, Neon",Sean Braxton,56322,64.13,31.11,3.6,Manitoba,Computer Peripherals,0.64
M3682,Sean Braxton,56322,71.06,125.99,8.08,Manitoba,Telephones and Communication,0.57
Revere Boxed Rubber Bands by Revere,Linda Southworth,56608,-15.11,1.89,0.76,Manitoba,Rubber Bands,0.83
8890,Joseph Airdo,56612,1219.34,115.99,5.92,Manitoba,Telephones and Communication,0.58
Dixon Ticonderoga Core-Lock Colored Pencils,Roland Murray,56835,-5.16,9.11,2.25,Manitoba,Pens & Art Supplies,0.52
Wilson Jones® Four-Pocket Poly Binders,Jack Garza,57058,-24.3,6.54,5.27,Manitoba,Binders and Binder Accessories,0.36
"IBM Numeric Access II Keypad, 17-Key, Black",Jack Garza,57058,-131.9,35.77,9.02,Manitoba,Computer Peripherals,0.75
Southworth Structures Collection™,Thais Sissman,57506,-66.87,7.28,5.47,Manitoba,Paper,0.35
"Westinghouse Floor Lamp with Metal Mesh Shade, Black",Russell D'Ascenzo,57574,-192.7,23.99,15.68,Manitoba,Office Furnishings,0.62
Avery 484,Rachel Payne,57602,58.52,2.88,0.5,Manitoba,Labels,0.36
"Imation 3.5"", DISKETTE 44766 HGHLD3.52HD/FM, 10/Pack",Arthur Gainer,57921,-42.12,4.98,4.62,Manitoba,Computer Peripherals,0.64
Boston 1730 StandUp Electric Pencil Sharpener,Arthur Gainer,57921,-45.94,21.38,8.99,Manitoba,Pens & Art Supplies,0.59
Xerox 1979,Steven Ward,57958,385.8,30.98,8.74,Manitoba,Paper,0.4
Avery Durable Poly Binders,Arthur Gainer,58086,-118.6,5.53,6.98,Manitoba,Binders and Binder Accessories,0.39
Xerox 1882,Arthur Gainer,58086,471.22,55.98,13.88,Manitoba,Paper,0.36
Executive Impressions 13" Clairmont Wall Clock,Tracy Collins,58182,166.92,19.23,6.15,Manitoba,Office Furnishings,0.44
"Imation Printable White 80 Minute CD-R Spindle, 50/Pack",Rick Bensley,58342,754.1,40.98,1.99,Manitoba,Computer Peripherals,0.44
"Soundgear Copyboard Conference Phone, Optional Battery",Emily Ducich,59174,-139.5,204.1,13.99,Manitoba,Office Machines,0.37
TI 36X Solar Scientific Calculator,Thea Hudgings,59361,218.65,23.99,6.3,Manitoba,Office Machines,0.38
Epson LQ-870 Dot Matrix Printer,Sanjit Engle,59365,-1220.91,535.64,14.7,Manitoba,Office Machines,0.59
Xerox 1997,Jill Fjeld,59492,-153.75,6.48,10.05,Manitoba,Paper,0.37
Avanti 4.4 Cu. Ft. Refrigerator,Susan MacKendrick,59684,778.01,180.98,55.24,Manitoba,Appliances,0.57
"Imation 3.5 IBM Formatted Diskettes, 10/Box",Susan MacKendrick,59684,-15.12,8.32,2.38,Manitoba,Computer Peripherals,0.74
"Important Message Pads, 50 4-1/4 x 5-1/2 Forms per Pad",Susan MacKendrick,59684,-5.26,4.2,2.26,Manitoba,Paper,0.36
Xerox 1993,Susan MacKendrick,59684,-144.89,6.48,9.68,Manitoba,Paper,0.36
GBC Standard Therm-A-Bind Covers,Peter Fuller,229,3.82,24.92,12.98,Saskachewan,Binders and Binder Accessories,0.39
"Lifetime Advantage™ Folding Chairs, 4/Carton",Sam Craven,512,19.18,218.08,18.06,Saskachewan,Chairs & Chairmats,0.57
"Decoflex Hanging Personal Folder File, Blue",Sam Craven,512,-166.4,15.42,10.68,Saskachewan,Storage & Organization,0.58
Eldon Antistatic Chair Mats for Low to Medium Pile Carpets,Mitch Willingham,1287,480.57,105.29,10.12,Saskachewan,Office Furnishings,0.79
Xerox 216,Mitch Willingham,1895,-23.25,6.48,7.91,Saskachewan,Paper,0.37
Keytronic 105-Key Spanish Keyboard,Sam Craven,2023,-321.84,73.98,12.14,Saskachewan,Computer Peripherals,0.67
Xerox 1952,Sam Craven,2023,-132.51,4.98,5.49,Saskachewan,Paper,0.38
GBC DocuBind 200 Manual Binding Machine,John Dryer,2593,276.68,420.98,19.99,Saskachewan,Binders and Binder Accessories,0.35
"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",John Dryer,2593,691.13,243.98,43.32,Saskachewan,Chairs & Chairmats,0.55
Accessory32,Susan Gilcrest,3461,1040.4,55.99,1.25,Saskachewan,Telephones and Communication,0.35
StarTAC 7797,Susan Gilcrest,3461,784.77,115.99,2.5,Saskachewan,Telephones and Communication,0.55
Xerox 1881,Ken Heidel,3554,-14.06,12.28,6.47,Saskachewan,Paper,0.38
"Wilson Jones Hanging View Binder, White, 1""",Patrick Ryan,4166,-49.35,7.1,6.05,Saskachewan,Binders and Binder Accessories,0.39
Wilson Jones Custom Binder Spines & Labels,Randy Bradley,5059,-19.31,5.44,7.46,Saskachewan,Binders and Binder Accessories,0.36
5180,William Brown,5254,258.62,65.99,8.99,Saskachewan,Telephones and Communication,0.56
Xerox 1895,Rick Hansen,5575,-269.37,5.98,10.39,Saskachewan,Paper,0.4
Epson FX-2180 Wide Format Dot Matrix Printer,Ken Heidel,5954,4569.06,596.98,14.7,Saskachewan,Office Machines,0.57
"Master Caster Door Stop, Brown",Toby Grace,6018,36.04,5.08,2.03,Saskachewan,Office Furnishings,0.51
Xerox 1882,Toby Grace,6018,-55.78,55.98,13.88,Saskachewan,Paper,0.36
"Wilson Jones Hanging View Binder, White, 1""",Joseph Holt,6336,-84.13,7.1,6.05,Saskachewan,Binders and Binder Accessories,0.39
Hoover Portapower™ Portable Vacuum,Patrick Ryan,7559,-374.82,4.48,49,Saskachewan,Appliances,0.6
"Fellowes Basic 104-Key Keyboard, Platinum",Patrick Ryan,7559,-63.39,20.95,5.99,Saskachewan,Computer Peripherals,0.65
AT&T 2230 Dual Handset Phone With Caller ID/Call Waiting,Maya Herman,8007,412.63,99.99,19.99,Saskachewan,Office Machines,0.52
Sanford 52201 APSCO Electric Pencil Sharpener,Rick Hansen,8070,76.51,40.97,8.99,Saskachewan,Pens & Art Supplies,0.59
"Global Leather Task Chair, Black",Peter Fuller,8259,-584.6,89.99,42,Saskachewan,Chairs & Chairmats,0.66
Wilson Jones “Snap” Scratch Pad Binder Tool for Ring Binders,Patrick Ryan,8642,-76.14,5.8,5.59,Saskachewan,Binders and Binder Accessories,0.4
Avery 503,Patrick Ryan,8642,49.69,10.35,0.99,Saskachewan,Labels,0.37
Fellowes Staxonsteel® Drawer Files,William Brown,8803,-145.07,193.17,19.99,Saskachewan,Storage & Organization,0.71
Surelock™ Post Binders,William Brown,8803,187.37,30.56,2.99,Saskachewan,Binders and Binder Accessories,0.35
"Master Giant Foot® Doorstop, Safety Yellow",John Dryer,9383,18.53,7.59,4,Saskachewan,Office Furnishings,0.42
"Hon Metal Bookcases, Black",Rick Hansen,10278,32.55,70.98,26.74,Saskachewan,Bookcases,0.6
Hewlett-Packard Deskjet 940 REFURBISHED Color Inkjet Printer,Ashley Jarboe,10949,252.77,80.97,30.06,Saskachewan,Office Machines,0.4
Avery White Multi-Purpose Labels,Maya Herman,11335,-2.42,4.98,0.49,Saskachewan,Labels,0.39
Epson C82 Color Inkjet Printer,Maya Herman,11335,-13.1,119.99,14,Saskachewan,Office Machines,0.36
Xerox 1978,Ken Heidel,12355,-81.06,5.78,5.67,Saskachewan,Paper,0.36
Pizazz® Global Quick File™,Ken Heidel,12355,-29.07,14.97,7.51,Saskachewan,Storage & Organization,0.57
"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Sam Craven,13127,-333.07,68.81,60,Saskachewan,Appliances,0.41
"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Randy Bradley,14978,2011.31,880.98,44.55,Saskachewan,Bookcases,0.62
"Tenex Personal Project File with Scoop Front Design, Black",Randy Bradley,14978,-6.32,13.48,4.51,Saskachewan,Storage & Organization,0.59
Avery White Multi-Purpose Labels,Maya Herman,15751,89.65,4.98,0.49,Saskachewan,Labels,0.39
Accessory15,Maya Herman,15751,-26.05,20.99,0.99,Saskachewan,Telephones and Communication,0.83
Fellowes Binding Cases,Mitch Willingham,15815,52.59,11.7,5.63,Saskachewan,Binders and Binder Accessories,0.4
Presstex Flexible Ring Binders,Mitch Willingham,15815,20.68,4.55,1.49,Saskachewan,Binders and Binder Accessories,0.35
Tyvek® Side-Opening Peel & Seel® Expanding Envelopes,Toby Grace,16737,366.8,90.48,19.99,Saskachewan,Envelopes,0.4
Serrated Blade or Curved Handle Hand Letter Openers,William Brown,17124,-55.72,3.14,1.92,Saskachewan,"Scissors, Rulers and Trimmers",0.84
EcoTones® Memo Sheets,Sam Craven,17666,21.74,4,1.3,Saskachewan,Paper,0.37
Acme® 8" Straight Scissors,Sam Craven,17666,-5.1,12.98,3.14,Saskachewan,"Scissors, Rulers and Trimmers",0.6
Microsoft Natural Multimedia Keyboard,Joseph Holt,19075,12.95,50.98,6.5,Saskachewan,Computer Peripherals,0.73
Canon S750 Color Inkjet Printer,Rick Hansen,21220,-258.08,120.97,26.3,Saskachewan,Office Machines,0.38
"Staples Wirebound Steno Books, 6"" x 9"", 12/Pack",Ashley Jarboe,21600,48.55,10.14,2.27,Saskachewan,Paper,0.36
Xerox 1906,Rick Hansen,22117,175.16,35.44,7.5,Saskachewan,Paper,0.38
Newell 342,Rick Hansen,22117,-16.42,3.28,3.97,Saskachewan,Pens & Art Supplies,0.56
Xerox 1988,Peter Fuller,22211,-89.98,30.98,19.99,Saskachewan,Paper,0.4
Bretford Rectangular Conference Table Tops,Peter Fuller,22211,634.76,376.13,85.63,Saskachewan,Tables,0.74
"Lifetime Advantage™ Folding Chairs, 4/Carton",Joseph Holt,22404,1845.68,218.08,18.06,Saskachewan,Chairs & Chairmats,0.57
12-1/2 Diameter Round Wall Clock,Randy Bradley,23362,-20.6,19.98,10.49,Saskachewan,Office Furnishings,0.49
"Tenex Personal Project File with Scoop Front Design, Black",Randy Bradley,23399,7.86,13.48,4.51,Saskachewan,Storage & Organization,0.59
Xerox 226,Ashley Jarboe,23781,-59.85,6.48,5.84,Saskachewan,Paper,0.37
Hewlett-Packard Deskjet 6122 Color Inkjet Printer,Toby Grace,23812,2227.89,200.97,15.59,Saskachewan,Office Machines,0.36
Keytronic Designer 104- Key Black Keyboard,Randy Bradley,24199,-314.42,40.48,19.99,Saskachewan,Computer Peripherals,0.77
Luxo Economy Swing Arm Lamp,John Dryer,25155,-180.45,19.94,14.87,Saskachewan,Office Furnishings,0.57
"Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page",John Dryer,25155,6.99,6.69,3.1,Saskachewan,Paper,0.36
Xerox 1952,John Dryer,25155,-1.74,4.98,5.49,Saskachewan,Paper,0.38
Xerox 1959,Patrick Ryan,26084,-107,6.68,7.3,Saskachewan,Paper,0.37
"Eureka The Boss® Plus 12-Amp Hard Box Upright Vacuum, Red",John Dryer,26146,107.31,104.65,18.93,Saskachewan,Appliances,0.58
"Hunt BOSTON® Vista® Battery-Operated Pencil Sharpener, Black",John Dryer,26146,-148.85,11.66,7.95,Saskachewan,Pens & Art Supplies,0.58
Panasonic KX-P3200 Dot Matrix Printer,Pauline Webber,26529,3376.03,297.64,14.7,Saskachewan,Office Machines,0.57
Accessory2,William Brown,26693,697.29,55.99,1.25,Saskachewan,Telephones and Communication,0.55
"Angle-D Binders with Locking Rings, Label Holders",Matt Collister,26948,-160.4,7.3,7.72,Saskachewan,Binders and Binder Accessories,0.38
Canon MP41DH Printing Calculator,Kean Takahito,26951,-318.59,150.98,13.99,Saskachewan,Office Machines,0.38
"Eldon Expressions™ Desk Accessory, Wood Photo Frame, Mahogany",Patrick Ryan,27141,107.82,19.04,6.38,Saskachewan,Office Furnishings,0.56
"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",Patrick Ryan,27141,300.34,59.76,9.71,Saskachewan,Storage & Organization,0.57
9-3/4 Diameter Round Wall Clock,Maya Herman,27302,29.76,13.79,8.78,Saskachewan,Office Furnishings,0.43
Xerox 1891,Maya Herman,27302,-27.51,48.91,5.81,Saskachewan,Paper,0.38
Xerox 1896,William Brown,27426,58.86,9.99,4.78,Saskachewan,Paper,0.4
Martin-Yale Premier Letter Opener,William Brown,27426,-93.62,12.88,4.59,Saskachewan,"Scissors, Rulers and Trimmers",0.82
Avery 51,Julia Dunbar,27810,109.29,6.3,0.5,Saskachewan,Labels,0.39
Xerox 1978,Susan Gilcrest,28674,-51.12,5.78,5.67,Saskachewan,Paper,0.36
"Tenex Personal Self-Stacking Standard File Box, Black/Gray",Rick Hansen,28742,-7.92,16.91,6.25,Saskachewan,Storage & Organization,0.58
Bretford Rectangular Conference Table Tops,Rick Hansen,28742,-209.56,376.13,85.63,Saskachewan,Tables,0.74
"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",Nick Zandusky,28772,-763.8,71.37,69,Saskachewan,Tables,0.68
StarTAC 8000,Nick Zandusky,28772,-803.08,205.99,8.99,Saskachewan,Telephones and Communication,0.6
"Maxell Pro 80 Minute CD-R, 10/Pack",Ashley Jarboe,29152,-40.86,17.48,1.99,Saskachewan,Computer Peripherals,0.45
Eldon Shelf Savers™ Cubes and Bins,Ashley Jarboe,29152,-106.29,6.98,9.69,Saskachewan,Storage & Organization,0.83
12 Colored Short Pencils,Patrick Ryan,29639,-14.09,2.6,2.4,Saskachewan,Pens & Art Supplies,0.58
Smead Adjustable Mobile File Trolley with Lockable Top,Patrick Ryan,30407,6227.33,419.19,19.99,Saskachewan,Storage & Organization,0.58
Xerox 1936,William Brown,31175,147.08,19.98,5.97,Saskachewan,Paper,0.38
US Robotics 56K V.92 External Faxmodem,Peter Fuller,32455,1025.23,99.99,19.99,Saskachewan,Computer Peripherals,0.52
"Global Leather and Oak Executive Chair, Black",William Brown,32484,-198.8,300.98,64.73,Saskachewan,Chairs & Chairmats,0.56
Carina Double Wide Media Storage Towers in Natural & Black,Mitch Willingham,34402,-967.67,80.98,35,Saskachewan,Storage & Organization,0.81
Avery 520,Mitch Willingham,34402,23.88,3.15,0.5,Saskachewan,Labels,0.37
Epson DFX5000+ Dot Matrix Printer,Neoma Murray,34723,-3001.28,1500.97,29.7,Saskachewan,Office Machines,0.57
Hewlett-Packard Deskjet 940 REFURBISHED Color Inkjet Printer,Neoma Murray,34723,579.79,80.97,30.06,Saskachewan,Office Machines,0.4
5180,Neoma Murray,34723,79.32,65.99,8.99,Saskachewan,Telephones and Communication,0.56
Xerox 1894,Neoma Murray,34757,-107.06,6.48,6.22,Saskachewan,Paper,0.37
Avery Self-Adhesive Photo Pockets for Polaroid Photos,William Brown,34913,-29.89,6.81,5.48,Saskachewan,Binders and Binder Accessories,0.37
Prang Colored Pencils,Peter Fuller,35136,17.17,2.94,0.81,Saskachewan,Pens & Art Supplies,0.4
US Robotics 56K V.92 External Faxmodem,Randy Bradley,35299,907.67,99.99,19.99,Saskachewan,Computer Peripherals,0.52
Hewlett-Packard Deskjet 3820 Color Inkjet Printer,Mitch Willingham,36676,998.65,100.97,14,Saskachewan,Office Machines,0.37
Xerox 1991,Mitch Willingham,36676,51.53,22.84,8.18,Saskachewan,Paper,0.39
Hewlett Packard 6S Scientific Calculator,William Brown,36708,-71.98,12.99,9.44,Saskachewan,Office Machines,0.39
Timeport L7089,William Brown,36708,384.01,125.99,7.69,Saskachewan,Telephones and Communication,0.58
GBC ProClick™ 150 Presentation Binding System,William Brown,36835,5081.87,315.98,19.99,Saskachewan,Binders and Binder Accessories,0.38
SAFCO Arco Folding Chair,William Brown,36835,1653.6,276.2,24.49,Saskachewan,Chairs & Chairmats,
Howard Miller 16" Diameter Gallery Wall Clock,William Brown,36835,257.59,63.94,14.48,Saskachewan,Office Furnishings,0.46
"Black Print Carbonless Snap-Off® Rapid Letter, 8 1/2"" x 7""",John Dryer,37127,50.13,9.11,2.15,Saskachewan,Paper,0.4
"GBC White Gloss Covers, Plain Front",Peter Fuller,37667,61.68,14.48,6.46,Saskachewan,Binders and Binder Accessories,0.38
Staples 6 Outlet Surge,Matt Collister,37825,-43.52,11.97,4.98,Saskachewan,Appliances,0.58
"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”",Matt Collister,37825,98.44,6.98,1.6,Saskachewan,Paper,0.38
"IBM Multi-Purpose Copy Paper, 8 1/2 x 11"", Case",Patrick Ryan,37861,337.25,30.98,5.76,Saskachewan,Paper,0.4
Newell 309,Rick Hansen,37926,60.06,11.55,2.36,Saskachewan,Pens & Art Supplies,0.55
Avery Poly Binder Pockets,Pauline Webber,38304,-28.31,3.58,5.47,Saskachewan,Binders and Binder Accessories,0.37
Office Star - Ergonomic Mid Back Chair with 2-Way Adjustable Arms,Nick Zandusky,38978,468.27,180.98,30,Saskachewan,Chairs & Chairmats,0.69
Seth Thomas 13 1/2" Wall Clock,Sam Craven,39267,85.48,17.78,5.03,Saskachewan,Office Furnishings,0.54
Eldon Portable Mobile Manager,Sam Craven,39267,-233.14,28.28,13.99,Saskachewan,Storage & Organization,0.58
"Staples Vinyl Coated Paper Clips, 800/Box",Pauline Webber,40772,22.85,7.89,2.82,Saskachewan,Rubber Bands,0.4
Accessory4,Patrick Ryan,40928,-420.59,85.99,0.99,Saskachewan,Telephones and Communication,0.85
Binding Machine Supplies,Kean Takahito,41216,49.66,29.17,6.27,Saskachewan,Binders and Binder Accessories,0.37
"Bevis Round Conference Table Top, X-Base",Kean Takahito,41216,1117.24,179.29,29.21,Saskachewan,Tables,0.74
TimeportP7382,Julia Dunbar,42310,394.35,205.99,8.99,Saskachewan,Telephones and Communication,0.56
Avery 481,Nick Zandusky,42403,30.76,3.08,0.99,Saskachewan,Labels,0.37
Newell 318,Nick Zandusky,42403,-20.2,2.78,1.25,Saskachewan,Pens & Art Supplies,0.59
Surelock™ Post Binders,Matt Collister,43138,581.77,30.56,2.99,Saskachewan,Binders and Binder Accessories,0.35
O'Sullivan Cherrywood Estates Traditional Barrister Bookcase,Matt Collister,43138,-692.82,137.48,32.18,Saskachewan,Bookcases,0.78
Imation DVD-RAM discs,John Dryer,43206,135.37,35.41,1.99,Saskachewan,Computer Peripherals,0.43
Electrix Fluorescent Magnifier Lamps & Weighted Base,Julia Dunbar,43207,579.76,49.34,10.25,Saskachewan,Office Furnishings,0.57
"Sanford Colorific® Eraseable Coloring Pencils, 12 Count",Julia Dunbar,43207,-3.06,3.28,1.95,Saskachewan,Pens & Art Supplies,0.42
Colored Push Pins,Julia Dunbar,43207,-7.75,1.81,1.56,Saskachewan,Rubber Bands,0.49
Canon PC1080F Personal Copier,William Brown,43650,-2213.75,599.99,24.49,Saskachewan,Copiers and Fax,0.5
Staples SlimLine Pencil Sharpener,William Brown,43650,-26.29,11.97,5.81,Saskachewan,Pens & Art Supplies,0.6
Executive Impressions 8-1/2" Career Panel/Partition Cubicle Clock,Peter Fuller,44290,4.68,10.4,5.4,Saskachewan,Office Furnishings,0.51
Southworth 25% Cotton Linen-Finish Paper & Envelopes,Peter Fuller,44290,-114.58,9.06,9.86,Saskachewan,Paper,0.4
Xerox 229,Peter Fuller,44290,-75.28,6.48,5.87,Saskachewan,Paper,0.37
Xerox 1934,Neoma Murray,44613,939.43,55.98,5.15,Saskachewan,Paper,0.36
Bell Sonecor JB700 Caller ID,Neoma Murray,44613,-71.39,7.99,5.03,Saskachewan,Telephones and Communication,0.6
Xerox 1963,Neoma Murray,44613,-227.25,5.28,8.16,Saskachewan,Paper,0.4
Binder Clips by OIC,Peter Fuller,44965,2.16,1.48,0.7,Saskachewan,Rubber Bands,0.37
Newell 308,Peter Fuller,44965,-4.83,1.68,0.7,Saskachewan,Pens & Art Supplies,0.6
"Avery Flip-Chart Easel Binder, Black",Maya Herman,45733,-131.28,22.38,15.1,Saskachewan,Binders and Binder Accessories,0.38
Avery Non-Stick Binders,Patrick Ryan,45893,8.87,4.49,1.49,Saskachewan,Binders and Binder Accessories,0.39
"3M Polarizing Task Lamp with Clamp Arm, Light Gray",Nick Zandusky,46113,945.54,136.98,24.49,Saskachewan,Office Furnishings,0.59
"Memorex 4.7GB DVD+RW, 3/Pack",Peter Fuller,46311,539.57,28.48,1.99,Saskachewan,Computer Peripherals,0.4
Executive Impressions 14" Contract Wall Clock,Peter Fuller,46311,388.23,22.23,3.63,Saskachewan,Office Furnishings,0.52
Xerox 212,Peter Fuller,46311,-185.98,6.48,8.4,Saskachewan,Paper,0.37
Bevis Boat-Shaped Conference Table,Peter Fuller,47398,-184.06,262.11,62.74,Saskachewan,Tables,0.75
"Global Deluxe Stacking Chair, Gray",John Dryer,47554,-50.31,50.98,14.19,Saskachewan,Chairs & Chairmats,0.56
"Master Giant Foot® Doorstop, Safety Yellow",John Dryer,47554,41.58,7.59,4,Saskachewan,Office Furnishings,0.42
Executive Impressions 12" Wall Clock,Matt Collister,48135,93.68,17.67,8.99,Saskachewan,Office Furnishings,0.47
Aluminum Document Frame,Rick Hansen,49346,42.22,12.22,2.85,Saskachewan,Office Furnishings,0.55
Xerox 1981,Rick Hansen,49346,-117.91,5.28,5.57,Saskachewan,Paper,0.4
Tripp Lite Isotel 6 Outlet Surge Protector with Fax/Modem Protection,Mitch Willingham,49735,570.67,60.97,4.5,Saskachewan,Appliances,0.56
Acco® Hot Clips™ Clips to Go,Patrick Ryan,50087,6.96,3.29,1.35,Saskachewan,Rubber Bands,0.4
GBC DocuBind TL200 Manual Binding Machine,Toby Grace,50466,2754.16,223.98,15.01,Saskachewan,Binders and Binder Accessories,0.38
TI 36X Solar Scientific Calculator,John Dryer,50501,227.59,23.99,6.3,Saskachewan,Office Machines,0.38
TimeportP7382,Neoma Murray,50818,1111.26,205.99,8.99,Saskachewan,Telephones and Communication,0.56
GBC Plastic Binding Combs,Nick Zandusky,50852,-191.23,7.38,11.51,Saskachewan,Binders and Binder Accessories,0.36
Wilson Jones 1" Hanging DublLock® Ring Binders,Peter Fuller,52068,-0.62,5.28,2.99,Saskachewan,Binders and Binder Accessories,0.37
Panasonic KX-P3626 Dot Matrix Printer,Peter Fuller,52068,7358.66,517.48,16.63,Saskachewan,Office Machines,0.59
O'Sullivan 3-Shelf Heavy-Duty Bookcases,Peter Fuller,52068,-412.36,58.14,36.61,Saskachewan,Bookcases,0.61
"Global Stack Chair without Arms, Black",Peter Fuller,52068,-119.55,25.98,14.36,Saskachewan,Chairs & Chairmats,0.6
300 Series Non-Flip,Julia Dunbar,52641,-449.42,155.99,8.08,Saskachewan,Telephones and Communication,0.6
